Campaign,Download Name,Downloaded (as of),Send Date,Campaign Name,Audience
06.11.2026 - MF - Your Home Is A Haven - Keep It That Way [Gmail],06.11.2026 - MF - Your Home Is A Haven - Keep It That Way [Gmail],7/17/2026,6/11/2026,Your Home Is A Haven - Keep It That Way [Gmail]   ,90-Day Engaged
06.09.2026 - MF - Your Home Is A Haven - Keep It That Way [TEST],-,,6/9/2026,Your Home Is A Haven - Keep It That Way [TEST]   ,Test
06.05.2026 - MF - How to Identify Mouse Urine [NonGmail],06.05.2026 - MF - How to Identify Mouse Urine [NonGmail],7/17/2026,6/5/2026,How to Identify Mouse Urine [NonGmail]        ,30-Day Engaged
06.05.2026 - MF - How to Identify Mouse Urine [Gmail],06.05.2026 - MF - How to Identify Mouse Urine [Gmail],7/17/2026,6/5/2026,How to Identify Mouse Urine [Gmail]        ,30-Day Engaged
06.08.2026 - MF - Ticks And Fleas: Protect Your Pets This Summer [TEST],-,,6/8/2026,Ticks And Fleas: Protect Your Pets This Summer [TEST]     ,30-Day Engaged
06.04.2026 - MF - How to Identify Mouse Urine [TEST],-,,6/4/2026,How to Identify Mouse Urine [TEST]        ,Test
06.01.2026 - HO - Ants: Why They Keep Coming Back [FINAL NonGmail],06.01.2026 - HO - Ants_ Why They Keep Coming Back [FINAL NonGmail],7/17/2026,6/1/2026,Ants: Why They Keep Coming Back [FINAL NonGmail]      ,30-Day Engaged
06.01.2026 - HO - Ants: Why They Keep Coming Back [FINAL Gmail],06.01.2026 - HO - Ants_ Why They Keep Coming Back [FINAL Gmail],7/17/2026,6/1/2026,Ants: Why They Keep Coming Back [FINAL Gmail]      ,30-Day Engaged
05.29.2026 - MF - Summer Pests: Don't Wait Until You Spot Them [NOR NonGmail],05.29.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NOR NonGmail],7/17/2026,5/29/2026,Summer Pests: Don't Wait Until You Spot Them [NOR NonGmail]    ,60-Day Cancels
05.29.2026 - MF - Summer Pests: Don't Wait Until You Spot Them [NOR Gmail],05.29.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NOR Gmail],7/17/2026,5/29/2026,Summer Pests: Don't Wait Until You Spot Them [NOR Gmail]    ,60-Day Cancels
05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP NonGmail Users],05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP NonGmail Users],7/17/2026,5/27/2026,Take Back Your Outdoor Spaces - Just In Time For Summer [HPP NonGmail Users],Non-HPP/YEP
05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP Gmail Users],05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP Gmail Users],7/17/2026,5/27/2026,Take Back Your Outdoor Spaces - Just In Time For Summer [HPP Gmail Users],Non-HPP/YEP
05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP NonGmail Users],05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP NonGmail Users],7/17/2026,5/27/2026,Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP NonGmail Users],Non-HPP/YEP
05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP Gmail Users],05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP Gmail Users],7/17/2026,5/27/2026,Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP Gmail Users],Non-HPP/YEP
05.27.2026 - MF - Summer Pests: Don't Wait Until You Spot Them [NonGmail],05.27.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NonGmail],7/17/2026,5/27/2026,Summer Pests: Don't Wait Until You Spot Them [NonGmail]     ,60-Day Cancels
05.27.2026 - MF - Summer Pests: Don't Wait Until You Spot Them [Gmail],05.27.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [Gmail],7/17/2026,5/27/2026,Summer Pests: Don't Wait Until You Spot Them [Gmail]     ,60-Day Cancels
05.28.2026 - HO - Ants: Why They Keep Coming Back [TEST],-,,5/28/2026,Ants: Why They Keep Coming Back [TEST]       ,Test
05.22.2026 - ST - What does mouse poop look like? - NonHPP NonGmail,05.22.2026 - ST - What does mouse poop look like_ - NonHPP NonGmail,7/17/2026,5/22/2026,What does mouse poop look like? - NonHPP NonGmail     ,90-Day Engaged
05.22.2026 - ST - What does mouse poop look like? - NonHPP Gmail,05.22.2026 - ST - What does mouse poop look like_ - NonHPP Gmail,7/17/2026,5/22/2026,What does mouse poop look like? - NonHPP Gmail     ,90-Day Engaged
05.26.2026 - MF - Summer Pests: Don't Wait Until You Spot Them [TEST],-,,5/26/2026,Summer Pests: Don't Wait Until You Spot Them [TEST]     ,Test
05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_NonGmail,05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_NonGmail,7/17/2026,5/19/2026,Those Are Not Flying Ants (Termite Focus)_NonGmail       ,60-Day Engaged
05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_Gmail,05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_Gmail,7/17/2026,5/19/2026,Those Are Not Flying Ants (Termite Focus)_Gmail       ,60-Day Engaged
"05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_2","05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_2",7/17/2026,5/12/2026,"If You've Seen One, There Are Likely Millions More - NonGmail_2   ",HPP Customers
"05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_2","05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_2",7/17/2026,5/12/2026,"If You've Seen One, There Are Likely Millions More - Gmail_2   ",HPP Customers
"05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_1","05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_1",7/17/2026,5/8/2026,"If You've Seen One, There Are Likely Millions More - NonGmail_1   ",HPP Customers
"05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_1","05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_1",7/17/2026,5/8/2026,"If You've Seen One, There Are Likely Millions More - Gmail_1   ",HPP Customers
05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 2,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 2,7/17/2026,5/1/2026,Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 2  ,HPP Customers
05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 1,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 1,7/17/2026,5/1/2026,Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 1  ,HPP Customers
05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 2,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 2,7/17/2026,5/1/2026,Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 2  ,HPP Customers
05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 1,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 1,7/17/2026,5/1/2026,Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 1  ,HPP Customers
04.28.2026 - HO - How to spot rat poop_NonGmail,04.28.2026 - HO - How to spot rat poop_NonGmail,7/17/2026,4/28/2026,How to spot rat poop_NonGmail         ,30-Day Engaged
04.28.2026 - HO - How to spot rat poop_Gmail,04.28.2026 - HO - How to spot rat poop_Gmail,7/17/2026,4/28/2026,How to spot rat poop_Gmail         ,30-Day Engaged
04.22.2026 - Termite Swarming Season Is Here - Act Now_NonGmail,04.22.2026 - Termite Swarming Season Is Here - Act Now_NonGmail,7/17/2026,4/22/2026,Termite Season Is Here - Act Now_NonGmail        ,90-Day HPP Customers
04.22.2026 - Termite Swarming Season Is Here - Act Now_Gmail,04.22.2026 - Termite Swarming Season Is Here - Act Now_Gmail,7/17/2026,4/22/2026,Termite Season Is Here - Act Now_Gmail,90-Day HPP Customers
04.17.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 19_NonGmail,04.17.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 19_NonGmail,7/17/2026,4/17/2026,Turn Your Backyard Into A Sanctuary - Warm up day 19_NonGmail   ,HPP Customers
04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_NonGmail,04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_NonGmail,7/17/2026,4/16/2026,Turn Your Backyard Into A Sanctuary - Warm up day 18_NonGmail   ,HPP Customers
04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_Gmail,04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_Gmail,7/17/2026,4/16/2026,Turn Your Backyard Into A Sanctuary - Warm up day 18_Gmail   ,HPP Customers
