Campaign,Download Name,Downloaded (as of),Send Date,Campaign Name,Audience
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #21,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #21,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #21       ,60-Day Cancels
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #20,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #20,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #20       ,60-Day Cancels
02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #19,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #19,7/17/2026,2/19/2026,Winback Campaign (Campaign 4) NG Batch #19       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #18,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #18,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #18       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #17,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #17,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #17       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #16,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #16,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #16       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #15,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #15,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #15       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #14,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #14,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #14       ,60-Day Cancels
02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #13,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #13,7/17/2026,2/18/2026,Winback Campaign (Campaign 4) NG Batch #13       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #12,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #12,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #12       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #11,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #11,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #11       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #10,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #10,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #10       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #9,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #9,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #9       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #8,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #8,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #8       ,60-Day Cancels
02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #7,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #7,7/17/2026,2/17/2026,Winback Campaign (Campaign 4) NG Batch #7       ,60-Day Cancels
02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #9,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #9,7/17/2026,2/14/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #9   ,60-Day Cancels
02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #8,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #8,7/17/2026,2/14/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #8   ,60-Day Cancels
02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #7,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #7,7/17/2026,2/14/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #7   ,60-Day Cancels
02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #6,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #6,7/17/2026,2/14/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #6   ,60-Day Cancels
02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #5,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #5,7/17/2026,2/14/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #5   ,60-Day Cancels
02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #4,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #4,7/17/2026,2/13/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #4   ,60-Day Cancels
02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #3,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #3,7/17/2026,2/13/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #3   ,60-Day Cancels
02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #2,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #2,7/17/2026,2/13/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #2   ,60-Day Cancels
02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #1,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #1,7/17/2026,2/13/2026,CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #1   ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #6,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #6,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #6       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #5,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #5,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #5       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #4,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #4,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #4       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #3,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #3,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #3       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #2,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #2,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #2       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #1,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #1,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) NG Batch #1       ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #30,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #30,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #30        ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #29,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #29,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #29        ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #28,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #28,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #28        ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #27,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #27,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #27        ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #26,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #26,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #26        ,60-Day Cancels
02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #25,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #25,7/17/2026,2/12/2026,Winback Campaign (Campaign 4) Batch #25        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #24,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #24,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #24        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #23,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #23,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #23        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #22,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #22,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #22        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #21,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #21,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #21        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #20,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #20,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #20        ,60-Day Cancels
02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #19,02.11.2026 - MF - Winback Campaign (Campaign 4) Batch #19,7/17/2026,2/11/2026,Winback Campaign (Campaign 4) Batch #19        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #18,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #18,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #18        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #17,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #17,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #17        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #16,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #16,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #16        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #15,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #15,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #15        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #14,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #14,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #14        ,60-Day Cancels
02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #13,02.10.2026 - MF - Winback Campaign (Campaign 4) Batch #13,7/17/2026,2/10/2026,Winback Campaign (Campaign 4) Batch #13        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #12,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #12,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #12        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #11,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #11,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #11        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #10,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #10,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #10        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #9,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #9,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #9        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #8,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #8,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #8        ,60-Day Cancels
02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #7,02.09.2026 - MF - Winback Campaign (Campaign 4) Batch #7,7/17/2026,2/9/2026,Winback Campaign (Campaign 4) Batch #7        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #6,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #6,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #6        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #5,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #5,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #5        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #4,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #4,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #4        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #3,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #3,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #3        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #2,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #2,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #2        ,60-Day Cancels
02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #1,02.03.2026 - MF - Winback Campaign (Campaign 4) Batch #1,7/17/2026,2/3/2026,Winback Campaign (Campaign 4) Batch #1        ,60-Day Cancels
01.28.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #7,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #7,7/17/2026,1/28/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #7 ,HPP & YEP Customers
01.28.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #6,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #6,7/17/2026,1/28/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #6 ,HPP & YEP Customers
01.28.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #5,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #5,7/17/2026,1/28/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #5 ,HPP & YEP Customers
01.28.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #4,01.28.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #4,7/17/2026,1/28/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #4 ,HPP & YEP Customers
01.27.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #3,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #3,7/17/2026,1/27/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #3 ,HPP & YEP Customers
01.27.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #2,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #2,7/17/2026,1/27/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #2 ,HPP & YEP Customers
01.27.2026 - HO - Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #1,01.27.2026 - HO - Cross Sell_ Termites Turning Your Home Into A Snack_ (Campaign 3) Batch #1,7/17/2026,1/27/2026,Cross Sell: Termites Turning Your Home Into A Snack? (Campaign 3) Batch #1 ,HPP & YEP Customers
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
