Year,Spend,SubsOrigin,CVOrigin,SubsAfterY1,CVAfterY1,SubsAfterY2,CVAfterY2,SubsAfterY3,CVAfterY3,SubsAfterY4,CVAfterY4,SubsAfterY5,CVAfterY5,TotalEarned,EarnedAFTEROrigin
2019,339813.29,2951,2159086.76,1965,1491678.64,1343,1081295.55,1000,826192.41,752,624534.31,588,485699.05,6668486.72,4509399.96
2020,2268311.84,14133,10705513.03,8664,6939094.41,5366,4457430.10,3869,3239845.62,3047,2527275.91,0,0.00,27869159.07,17163646.04
2021,1647249.32,15256,10718854.00,7943,6536731.42,5375,4584539.73,4135,3542125.07,0,0.00,0,0.00,25382250.22,14663396.22
2022,5500000.00,19148,14413174.00,10652,8923429.41,7411,6226279.93,0,0.00,0,0.00,0,0.00,29562883.34,15149709.34
2023,5548772.57,21584,16614070.00,12936,10836168.36,0,0.00,0,0.00,0,0.00,0,0.00,27450238.36,10836168.36
2024,4561323.00,22592,18337728.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18337728.00,0.00
