Year,Spend,SubsOrigin,CVOrigin,SubsAfterY1,CVAfterY1,SubsAfterY2,CVAfterY2,SubsAfterY3,CVAfterY3,SubsAfterY4,CVAfterY4,SubsAfterY5,CVAfterY5,TotalEarned,EarnedAFTEROrigin
2019,339813.29,3015,2185281.34,1994,1504588.10,1358,1086651.01,1008,828733.37,756,624523.37,599,492652.15,6722429.34,4537148.00
2020,2268311.84,15304,11362851.90,9319,7287659.35,5537,4577604.81,3996,3327143.46,3204,2640018.25,0,0.00,29195277.77,17832425.87
2021,1647249.32,14587,10629571.08,8185,6715950.89,5548,4720340.97,4370,3739106.48,0,0.00,0,0.00,25804969.42,15175398.34
2022,50000.00,17855,14675403.19,10899,9125540.57,7847,6591139.26,0,0.00,0,0.00,0,0.00,30392083.02,15716679.83
2023,5548772.57,20984,17181319.16,13874,11582490.32,0,0.00,0,0.00,0,0.00,0,0.00,28763809.48,11582490.32
2024,6968776.97,19192,16429577.93,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,16429577.93,0.00
