Year,Spend,SubsOrigin,CVOrigin,SubsAfterY1,CVAfterY1,SubsAfterY2,CVAfterY2,SubsAfterY3,CVAfterY3,SubsAfterY4,CVAfterY4,SubsAfterY5,CVAfterY5,TotalEarned,EarnedAFTEROrigin
2019,50000.00,7085,5013706.07,4461,3374646.76,3169,2536661.37,2358,1943677.73,1769,1474880.02,1433,1189943.53,15533515.48,10519809.41
2020,50000.00,17054,12679178.94,10307,8056054.66,6068,5022059.94,4378,3648784.73,3516,2902193.55,0,0.00,32308271.82,19629092.88
2021,50000.00,16378,11916550.67,9089,7485219.09,6169,5267727.66,4883,4194328.10,0,0.00,0,0.00,28863825.52,16947274.85
2022,50000.00,20386,16804818.13,12303,10343760.78,8924,7527514.68,0,0.00,0,0.00,0,0.00,34676093.59,17871275.46
2023,5548772.57,23363,19199913.70,15499,12996850.71,0,0.00,0,0.00,0,0.00,0,0.00,32196764.41,12996850.71
2024,6968776.97,21611,18532514.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18532514.50,0.00
